time,mean,lower,upper
0,0.068875,0.06516,0.07259
5,0.071688,0.067426,0.075949
10,0.077063,0.07232,0.081805
15,0.084187,0.078868,0.089507
20,0.091687,0.085677,0.097698
25,0.10063,0.093967,0.10728
30,0.10913,0.10316,0.11509
35,0.11863,0.11295,0.1243
40,0.12981,0.1237,0.13593
45,0.14225,0.13538,0.14912
50,0.15538,0.14775,0.163
55,0.16963,0.1604,0.17885
60,0.18313,0.17254,0.19371
65,0.19806,0.18461,0.21151
70,0.21244,0.19665,0.22822
75,0.22894,0.2094,0.24848
80,0.24344,0.21937,0.2675
85,0.26169,0.23543,0.28795
90,0.2785,0.24883,0.30817
95,0.29531,0.26449,0.32613
100,0.30837,0.27566,0.34109
105,0.32525,0.28899,0.36151
110,0.34012,0.30111,0.37914
115,0.35612,0.31425,0.398
120,0.37106,0.32524,0.41688
125,0.39144,0.34255,0.44032
130,0.41069,0.35925,0.46213
135,0.426,0.37395,0.47805
140,0.44256,0.38567,0.49946
145,0.46081,0.40137,0.52026
150,0.47825,0.41462,0.54188
155,0.49125,0.42629,0.55621
160,0.50962,0.4404,0.57885
165,0.52344,0.45266,0.59421
170,0.53844,0.46508,0.6118
175,0.55631,0.4811,0.63153
180,0.57262,0.49573,0.64952
185,0.58431,0.50693,0.66169
190,0.60094,0.52156,0.68032
195,0.61975,0.54181,0.69769
200,0.63112,0.55239,0.70986
205,0.64881,0.57085,0.72677
210,0.65781,0.57986,0.73576
215,0.67162,0.59482,0.74843
220,0.68544,0.60843,0.76245
225,0.69831,0.62225,0.77438
230,0.7115,0.63646,0.78654
235,0.71956,0.64451,0.79461
240,0.72681,0.65211,0.80151
245,0.73931,0.66679,0.81184
250,0.75119,0.67995,0.82243
255,0.76013,0.68901,0.83124
260,0.77031,0.69902,0.84161
265,0.77631,0.7058,0.84682
270,0.78994,0.72106,0.85882
275,0.7925,0.72482,0.86018
280,0.80219,0.73548,0.8689
285,0.81287,0.74923,0.87652
290,0.82369,0.76265,0.88473
295,0.82987,0.77031,0.88944
300,0.84012,0.78269,0.89756
305,0.84356,0.78687,0.90026
310,0.85306,0.79789,0.90823
315,0.86288,0.80755,0.9182
320,0.86725,0.81412,0.92038
325,0.87444,0.82024,0.92864
330,0.88056,0.82875,0.93238
335,0.88781,0.83601,0.93961
340,0.89569,0.84604,0.94533
345,0.8995,0.84944,0.94956
350,0.90994,0.86156,0.95832
355,0.91344,0.86724,0.95964
360,0.91944,0.87474,0.96414
